Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
36010,8caa,"MTSCAN","D","Manitowoc County Scan","Interop","Manitowoc County"
36011,8cab,"MTCOM","D","Manitowoc County Common","Multi-Talk","Manitowoc County"
36012,8cac,"MTTRVL","D","Manitowoc County Travel","Multi-Talk","County Travel"
36098,8d02,"MTTRPD","D","Two Rivers PD","Law Talk","Manitowoc County"
36104,8d08,"MTTWFD","D","Town of Two Rivers FD","Fire-Talk","Manitowoc County"
37010,9092,"MNSCAN","D","Marathon County Scan","Interop","Marathon County"
37011,9093,"MNCOM","D","Marathon County Common","Multi-Talk","Marathon County"
37012,9094,"MNTRVL","D","Marathon County Travel","Multi-Talk","County Travel"
37231,916f,"MNKRPD","D","Kronenwetter PD","Law Talk","Marathon County"
37247,917f,"MNSPFD","D","Spencer FD","Fire-Talk","Marathon County"
37417,9229,"MNRMFD","D","Rib Mountain FD","Fire-Talk","Marathon County"
38010,947a,"MRSCAN","D","Marinette County Scan","Interop","Marinette County"
38011,947b,"MRCOM","D","Marinette County Common","Multi-Talk","Marinette County"
38012,947c,"MRTRVL","D","Marinette County Travel","Multi-Talk","County Travel"
39010,9862,"MASCAN","D","Marquette County Scan","Interop","Marquette County"
39011,9863,"MACOM","D","Marquette County Common","Multi-Talk","Marquette County"
39012,9864,"MATRVL","D","Marquette County Travel","Multi-Talk","County Travel"
40010,9c4a,"MESCAN","D","Menominee County Scan","Interop","Menominee County"
40011,9c4b,"MECOM","D","Menominee County Common","Multi-Talk","Menominee County"
40012,9c4c,"METRVL","D","Menominee County Travel","Multi-Talk","County Travel"
40094,9c9e,"METRAN4","D","Menominee Regional Public Transit 4","Transportation","Menominee County"
41010,a032,"MCSCAN","D","Milwaukee County Scan","Interop","Milwaukee County"
41011,a033,"MCCOM","D","Milwaukee County Common","Multi-Talk","Milwaukee County"
41012,a034,"MCTRVL","D","Milwaukee County Travel","Multi-Talk","County Travel"
41399,a1b7,"MCMWPD","D","Milwaukee PD","Law Talk","Milwaukee County"
41401,a1b9,"MCGFPD1","D","Greenfield Police 1","Law Dispatch","Milwaukee County"
41402,a1ba,"MCGFPD2","D","Greenfield Police 2","Law Talk","Milwaukee County"
41403,a1bb,"MCGFPD3","D","Greenfield Police 3","Law Tac","Milwaukee County"
41404,a1bc,"MCGFPD4","D","Greenfield Police 4","Law Tac","Milwaukee County"
41405,a1bd,"MCGFPAGE","D","Greenfield Paging","Fire Dispatch","Milwaukee County"
41407,a1bf,"MCGFFD1","D","Greenfield Fire 1","Fire Dispatch","Milwaukee County"
41408,a1c0,"MCGFFD2","D","Greenfield Fire 2","Fire-Talk","Milwaukee County"
41409,a1c1,"MCGFFD3","D","Greenfield Fire 3","Fire-Talk","Milwaukee County"
41423,a1cf,"MCGFSCHL","D","Greenfield School District","Schools","Milwaukee County"
41501,a21d,"MCWAPD","D","West Allis PD","Law Talk","Milwaukee County"
41681,a2d1,"MCFRPD","D","Franklin PD","Law Talk","Milwaukee County"
41721,a2f9,"MCGDPD","D","Greendale PD","Law Talk","Milwaukee County"
41741,a30d,"MCHCPD","D","Hales Corners PD","Law Talk","Milwaukee County"
41827,a363,"MCSFFD","D","St Francis FD","Fire-Talk","Milwaukee County"
42001,a411,"MOLAW1","D","Monroe Co SO","Law Talk","Monroe County"
42010,a41a,"MOSCAN","D","Monroe County Scan","Interop","Monroe County"
42011,a41b,"MOCOM","D","Monroe County Common","Multi-Talk","Monroe County"
42012,a41c,"MOTRVL","D","Monroe County Travel","Multi-Talk","County Travel"
42101,a475,"MOSRPD","D","Sparta PD","Law Talk","Monroe County"
42151,a4a7,"MOTOPD","D","Tomah PD","Law Talk","Monroe County"
43010,a802,"OCSCAN","D","Oconto County Scan","Interop","Oconto County"
43011,a803,"OCCOM","D","Oconto County Common","Multi-Talk","Oconto County"
43012,a804,"OCTRVL","D","Oconto County Travel","Multi-Talk","County Travel"
44001,abe1,"ONLAW1","D","Oneida County SO","Law Talk","Oneida County"
44010,abea,"ONSCAN","D","Oneida County Scan","Interop","Oneida County"
44011,abeb,"ONCOM","D","Oneida County Common","Multi-Talk","Oneida County"
44012,abec,"ONTRVL","D","Oneida County Travel","Multi-Talk","County Travel"
44307,ad13,"ONCRFD","D","Crescent FD","Fire-Talk","Oneida County"
44322,ad22,"ONLTFD","D","Lake Tomahawk FD","Fire-Talk","Oneida County"
44327,ad27,"ONLRFD","D","Little Rice FD","Fire-Talk","Oneida County"
44382,ad5e,"ONTLFD","D","Three Lakes FD","Fire-Talk","Oneida County"
45010,afd2,"OUSCAN","D","Outagamie County Scan","Interop","Outagamie County"
45011,afd3,"OUCOM","D","Outagamie County Common","Multi-Talk","Outagamie County"
45012,afd4,"OUTRVL","D","Outagamie County Travel","Multi-Talk","County Travel"
45231,b0af,"OUVHPD","D","Hortonville PD","Law Talk","Outagamie County"
46001,b3b1,"OZLAW1","D","Ozaukee County SO","Law Talk","Ozaukee County"
46010,b3ba,"OZSCAN","D","Ozaukee County Scan","Interop","Ozaukee County"
46011,b3bb,"OZCOM","D","Ozaukee County Common","Multi-Talk","Ozaukee County"
46012,b3bc,"OZTRVL","D","Ozaukee County Travel","Multi-Talk","County Travel"
46101,b415,"OZCEPD","D","Cedarburg PD","Law Talk","Ozaukee County"
46147,b443,"OZPWFD","D","Port Washington FD","Fire-Talk","Ozaukee County"
47010,b7a2,"PESCAN","D","Pepin County Scan","Interop","Pepin County"
47011,b7a3,"PECOM","D","Pepin County Common","Multi-Talk","Pepin County"
47012,b7a4,"PETRVL","D","Pepin County Travel","Multi-Talk","County Travel"
48010,bb8a,"PCSCAN","D","Pierce County Scan","Interop","Pierce County"
48011,bb8b,"PCCOM","D","Pierce County Common","Multi-Talk","Pierce County"
48012,bb8c,"PCTRVL","D","Pierce County Travel","Multi-Talk","County Travel"
48014,bb8e,"GDTRVL","D","Goodhue County MN Travel","Multi-Talk","County Travel"
48309,bcb5,"PCELEMS","D","Ellsworth EMS","EMS-Talk","Pierce County"
49010,bf72,"POSCAN","D","Polk County Scan","Interop","Polk County"
49011,bf73,"POCOM","D","Polk County Common","Multi-Talk","Polk County"
49012,bf74,"POTRVL","D","Polk County Travel","Multi-Talk","County Travel"
50010,c35a,"PTSCAN","D","Portage County Scan","Interop","Portage County"
50011,c35b,"PTCOM","D","Portage County Common","Multi-Talk","Portage County"
50012,c35c,"PTTRVL","D","Portage County Travel","Multi-Talk","County Travel"
50327,c497,"PTPRFD","D","Park Ridge FD","Fire-Talk","Portage County"
51010,c742,"PRSCAN","D","Price County Scan","Interop","Price County"
51011,c743,"PRCOM","D","Price County Common","Multi-Talk","Price County"
51012,c744,"PRTRVL","D","Price County Travel","Multi-Talk","County Travel"
52010,cb2a,"RASCAN","D","Racine County Scan","Interop","Racine County"
52011,cb2b,"RACOM","D","Racine County Common","Multi-Talk","Racine County"
52012,cb2c,"RATRVL","D","Racine County Travel","Multi-Talk","County Travel"
53010,cf12,"RISCAN","D","Richland County Scan","Interop","Richland County"
53011,cf13,"RICOM","D","Richland County Common","Multi-Talk","Richland County"
53012,cf14,"RITRVL","D","Richland County Travel","Multi-Talk","County Travel"
54010,d2fa,"ROSCAN","D","Rock County Scan","Interop","Rock County"
54011,d2fb,"ROCOM","D","Rock County Common","Multi-Talk","Rock County"
54012,d2fc,"ROTRVL","D","Rock County Travel","Multi-Talk","County Travel"
54101,d355,"ROBEPD","D","Beloit PD","Law Talk","Rock County"
54107,d35b,"ROBEFD","D","Beloit FD","Fire-Talk","Rock County"
54157,d38d,"ROJVFD","D","Janesville FD","Fire-Talk","Rock County"
54211,d3c3,"ROEDPD","D","Edgerton PD","Law Talk","Rock County"
54217,d3c9,"ROEDFD","D","Edgerton FD","Fire-Talk","Rock County"
54226,d3d2,"ROEVEMS","D","Evansville EMS","EMS-Talk","Rock County"
54307,d423,"ROCLFD","D","Clinton FD","Fire-Talk","Rock County"
54391,d477,"RORRSP","D","Rock River Safety Patrol","Law Talk","Rock County"
54406,d486,"ROTBPD","D","Town of Beloit PD","Law Talk","Rock County"
54407,d487,"ROTBFD","D","Town of Beloit FD","Fire-Talk","Rock County"
54461,d4bd,"ROTMPD","D","Town of Milton PD","Law Talk","Rock County"
54462,d4be,"ROTMFD","D","Town of Milton FD","Fire-Talk","Rock County"
54482,d4d2,"RORTFD","D","Town of Rock FD","Fire-Talk","Rock County"
55010,d6e2,"RUSCAN","D","Rusk County Scan","Interop","Rusk County"
55011,d6e3,"RUCOM","D","Rusk County Common","Multi-Talk","Rusk County"
55012,d6e4,"RUTRVL","D","Rusk County Travel","Multi-Talk","County Travel"
55501,d8cd,"SWLAW1","D","Law Enforcement 1","Law Dispatch","Sawyer County"
55502,d8ce,"SWLAW2","D","Law Enforcement 2","Law Dispatch","Sawyer County"
55505,d8d1,"SWPAGE","D","Sawyer County Page","Fire Dispatch","Sawyer County"
55506,d8d2,"SWEMS","D","Sawyer County EMS","EMS-Talk","Sawyer County"
55507,d8d3,"SWFIRE1","D","Sawyer County Fire 1","Fire Dispatch","Sawyer County"
55508,d8d4,"SWFIRE2","D","Sawyer County Fire 2","Fire-Talk","Sawyer County"
55509,d8d5,"SWEVENT","D","Sawyer County Events","Multi-Talk","Sawyer County"
55511,d8d7,"SWCOM","D","Sawyer County Common","Multi-Talk","Sawyer County"
55512,d8d8,"SWTRVL","D","Sawyer County Travel","Multi-Talk","County Travel"
55514,d8da,"SWEM","D","Sawyer County Emergency Management","Multi-Talk","Sawyer County"
55516,d8dc,"SWHWY","D","Sawyer County Highway Department","Public Works","Sawyer County"
55518,d8de,"SWTRANS","D","Sawyer County Transit","Transportation","Sawyer County"
56010,daca,"SCSCAN","D","St Croix County Scan","Interop","St. Croix County"
56011,dacb,"SCCOM","D","St Croix County Common","Multi-Talk","St. Croix County"
56012,dacc,"SCTRVL","D","St. Croix County Travel","Multi-Talk","County Travel"
56206,db8e,"SCBAEMS","D","Baldwin EMS","EMS-Talk","St. Croix County"
56510,dcbe,"WBSCAN","D","Washburn County Scan","Interop","Washburn County"
56511,dcbf,"WBCOM","D","Washburn County Common","Multi-Talk","Washburn County"
56512,dcc0,"WBTRVL","D","Washburn County Travel","Multi-Talk","County Travel"
57010,deb2,"SASCAN","D","Sauk County Scan","Interop","Sauk County"
57011,deb3,"SACOM","D","Sauk County Common","Multi-Talk","Sauk County"
57012,deb4,"SATRVL","D","Sauk County Travel","Multi-Talk","County Travel"
57106,df12,"SABAEMS","D","Baraboo District Ambulance Service","EMS-Talk","Sauk County"
57107,df13,"SABAFD","D","Baraboo Fire","Fire-Talk","Sauk County"
57110,df16,"SADDEMS","D","Dells-Delton EMS","EMS-Talk","Sauk County"
57111,df17,"SALDFD","D","Delton Fire","Fire-Talk","Sauk County"
57251,dfa3,"SASGLG","D","Spring Green PD/FD","Multi-Talk","Sauk County"
57774,e1ae,"LIFESTAR","D","Lifestar EMS","EMS Dispatch","Washington County"
57910,e236,"WASCAN","D","Washington County Scan","Interop","Washington County"
57911,e237,"WACOM","D","Washington County Common","Multi-Talk","Washington County"
57912,e238,"WATRVL","D","Washington County Travel","Multi-Talk","County Travel"
58010,e29a,"WKSCAN","D","Waukesha County Scan","Interop","Waukesha County"
58011,e29b,"WKCOM","D","Waukesha County Common","Multi-Talk","Waukesha County"
58012,e29c,"WKTRVL","D","Waukesha County Travel","Multi-Talk","County Travel"
58381,e40d,"WKEAPD","D","Eagle PD","Law Talk","Waukesha County"
58387,e413,"WKEAFD","D","Eagle FD","Fire-Talk","Waukesha County"
58527,e49f,"WKMKFD","D","Mukwonago FD","Fire-Talk","Waukesha County"
58867,e5f3,"WKVEFD","D","Vernon FD","Fire-Talk","Waukesha County"
58901,e615,"OALAWCALL","D","OALAWCALL via ISSI","Interop","WiPSN ISSI"
58902,e616,"OACHASE","D","OACHASE via ISSI","Interop","WiPSN ISSI"
58903,e617,"WKLEDISP4","D","WKLEDISP4 via ISSI","Law Dispatch","Waukesha County"
58904,e618,"WKLEOPS4","D","WKLEOPS4 via ISSI","Law Tac","Waukesha County"
58905,e619,"MCSODISP1","D","MCSODISP1 via ISSI","Law Dispatch","Milwaukee County"
58906,e61a,"OAGTAC1","D","OAGTAC1 via ISSI","Multi-Tac","WiPSN ISSI"
58907,e61b,"OAGTAC2","D","OAGTAC2 via ISSI","Multi-Tac","WiPSN ISSI"
58908,e61c,"OAGTAC3","D","OAGTAC3 via ISSI","Multi-Tac","WiPSN ISSI"
58909,e61d,"OAGTAC4","D","OAGTAC4 via ISSI","Multi-Tac","WiPSN ISSI"
58910,e61e,"OAGTAC5","D","OAGTAC5 via ISSI","Multi-Tac","WiPSN ISSI"
58911,e61f,"OAGTAC6","D","OAGTAC6 via ISSI","Multi-Tac","WiPSN ISSI"
58912,e620,"OAGTAC7","D","OAGTAC7 via ISSI","Multi-Tac","WiPSN ISSI"
58913,e621,"OAGTAC8","D","OAGTAC8 via ISSI","Multi-Tac","WiPSN ISSI"
58914,e622,"OAGTAC9","D","OAGTAC9 via ISSI","Multi-Tac","WiPSN ISSI"
58915,e623,"OAGTAC10","D","OAGTAC10 via ISSI","Multi-Tac","WiPSN ISSI"
58916,e624,"OAGTAC11","D","OAGTAC11 via ISSI","Multi-Tac","WiPSN ISSI"
