Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
51,033,"RCALL51WC","D","WC Region Calling 51","Interop","West Central Area Interoperability"
52,034,"RTAC52WC","D","WC Region Tactical 52","Multi-Tac","West Central Area Interoperability"
53,035,"RTAC53WC","D","WC Region Tactical 53","Multi-Tac","West Central Area Interoperability"
54,036,"RTAC54WC","D","WC Region Tactical 54","Multi-Tac","West Central Area Interoperability"
61,03d,"RCALL61NW","D","NW Region Calling 61","Interop","Northwest Area Interoperability"
62,03e,"RTAC62NW","D","NW Region Tactical 62","Multi-Tac","Northwest Area Interoperability"
63,03f,"RTAC63NW","D","NW Region Tactical 63","Multi-Tac","Northwest Area Interoperability"
64,040,"RTAC64NW","D","NW Region Tactical 64","Multi-Tac","Northwest Area Interoperability"
71,047,"HAZMAT","D","Statewide Haz Mat regional specialty teams","Fire-Tac","Statewide Interoperability"
72,048,"COLLAPSE","D","Statewide Collapse regional specialty teams","Fire-Tac","Statewide Interoperability"
73,049,"MABAS1","D","Statewide MABAS 1 - Coordination","Fire-Tac","Statewide Interoperability"
74,04a,"MABAS2","D","Statewide MABAS 2 - Administration","Fire-Tac","Statewide Interoperability"
76,04c,"EPS1","D","WEM Emergency Police Services","Law Tac","Statewide Interoperability"
94,05e,"TEST94","D","System Testing/Demo 94","Public Works","System Testing"
95,05f,"TEST95","D","System Testing/Demo 95","Public Works","System Testing"
96,060,"TEST96","D","System Testing/Demo 96","Public Works","System Testing"
97,061,"TEST97","D","System Testing/Demo 97","Public Works","System Testing"
98,062,"TEST98","D","System Testing/Demo 98","Public Works","System Testing"
99,063,"TEST99","D","System Testing/Demo 99","Public Works","System Testing"
100,064,"WSPCOMATG","D","WSP Radio Techs - ATG","Other","State Patrol: Radio Technicians"
101,065,"WSPCOMSTW","D","WSP Radio Techs - Statewide","Other","State Patrol: Radio Technicians"
102,066,"WSPCOMHF","DE","WSP Radio Techs - Central HQ","Other","State Patrol: Radio Technicians"
103,067,"WSPCOMNA","DE","WSP Radio Techs - Northeast Area","Other","State Patrol: Radio Technicians"
104,068,"WSPCOMSA","DE","WSP Radio Techs - Southern Area","Other","State Patrol: Radio Technicians"
105,069,"WSPCOMWA","DE","WSP Radio Techs - Western Area","Other","State Patrol: Radio Technicians"
110,06e,"WSPSWATG","D","Southwest Region: Announcement","Law Dispatch","State Patrol: Southwest Region"
111,06f,"WSPSW1","D","Southwest 1 - DeForest/Tomah Posts","Law Dispatch","State Patrol: Southwest Region"
112,070,"WSPSW2","D","Southwest 2","Law Dispatch","State Patrol: Southwest Region"
113,071,"WSPSW3","D","Southwest 3","Law Dispatch","State Patrol: Southwest Region"
114,072,"WSPSW4","DE","Southwest 4 ","Law Tac","State Patrol: Southwest Region"
115,073,"WSPSW5","D","Southwest 5","Law Dispatch","State Patrol: Southwest Region"
116,074,"WSPSW6","D","Southwest 6","Law Dispatch","State Patrol: Southwest Region"
117,075,"WSPSW7","D","Southwest 7 ","Law Dispatch","State Patrol: Southwest Region"
118,076,"WSPSW8","DE","Southwest 8","Law Tac","State Patrol: Southwest Region"
120,078,"WSPSEATG","D","Southeast Region: Announcement","Law Dispatch","State Patrol: Southeast Region"
121,079,"WSPSE1","D","Southeast 1 - Waukesha Post","Law Dispatch","State Patrol: Southeast Region"
122,07a,"WSPSE2","D","Southeast 2","Law Dispatch","State Patrol: Southeast Region"
123,07b,"WSPSE3","D","Southeast 3","Law Dispatch","State Patrol: Southeast Region"
124,07c,"WSPSE4","DE","Southeast 4","Law Tac","State Patrol: Southeast Region"
130,082,"WSPNEATG","D","Northeast Region: Announcement","Law Dispatch","State Patrol: Northeast Region"
131,083,"WSPNE1","D","Northeast 1 - Wrightstown Post","Law Dispatch","State Patrol: Northeast Region"
132,084,"WSPNE2","D","Northeast 2","Law Dispatch","State Patrol: Northeast Region"
133,085,"WSPNE3","D","Northeast 3","Law Dispatch","State Patrol: Northeast Region"
134,086,"WSPNE4","DE","Northeast 4","Law Tac","State Patrol: Northeast Region"
140,08c,"WSPNCATG","D","North Central Region: Announcement","Law Dispatch","State Patrol: North Central Region"
141,08d,"WSPNC1","D","North Central 1 - Wausau Post","Law Dispatch","State Patrol: North Central Region"
142,08e,"WSPNC2","D","North Central 2","Law Dispatch","State Patrol: North Central Region"
143,08f,"WSPNC3","D","North Central 3","Law Dispatch","State Patrol: North Central Region"
144,090,"WSPNC4","DE","North Central 4","Law Tac","State Patrol: North Central Region"
150,096,"WSPNWATG","D","Northwest Region: Announcement","Law Dispatch","State Patrol: Northwest Region"
151,097,"WSPNW1","D","Northwest 1 - Eau Claire/Spooner Posts","Law Dispatch","State Patrol: Northwest Region"
152,098,"WSPNW2","D","Northwest 2","Law Dispatch","State Patrol: Northwest Region"
153,099,"WSPNW3","D","Northwest 3","Law Dispatch","State Patrol: Northwest Region"
154,09a,"WSPNW4","DE","Northwest 4","Law Tac","State Patrol: Northwest Region"
155,09b,"WSPNW5","D","Northwest 5","Law Dispatch","State Patrol: Northwest Region"
156,09c,"WSPNW6","D","Northwest 6","Law Dispatch","State Patrol: Northwest Region"
157,09d,"WSPNW7","D","Northwest 7","Law Dispatch","State Patrol: Northwest Region"
158,09e,"WSPNW8","DE","Northwest 8","Law Tac","State Patrol: Northwest Region"
161,0a1,"WSPAC1","D","Academy 1","Law Talk","State Patrol: Special Operations"
162,0a2,"WSPAC2","D","Academy 2","Law Talk","State Patrol: Special Operations"
181,0b5,"WSPASU1","D","WSP Air Support Unit 1","Law Talk","State Patrol: Special Operations"
182,0b6,"WSPASU2","D","WSP Air Support Unit 2","Law Talk","State Patrol: Special Operations"
183,0b7,"WSPASU3","D","WSP Air Support Unit 3","Law Talk","State Patrol: Special Operations"
184,0b8,"WSPDPU1","DE","WSP Dignitary Protection Unit 1","Law Talk","State Patrol: Special Operations"
185,0b9,"WSPDPU2","DE","WSP Dignitary Protection Unit 2","Law Talk","State Patrol: Special Operations"
186,0ba,"WSPDPU3","DE","WSP Dignitary Protection Unit 3","Law Talk","State Patrol: Special Operations"
187,0bb,"WSPTRU1","D","WSP Technical Reconstruction Unit 1","Law Talk","State Patrol: Special Operations"
188,0bc,"WSPTRU2","D","WSP Technical Reconstruction Unit 2","Law Talk","State Patrol: Special Operations"
189,0bd,"WSPTRU3","D","WSP Technical Reconstruction Unit 3","Law Talk","State Patrol: Special Operations"
191,0bf,"WSPSTW1","D","State Patrol Statewide 1","Law Tac","State Patrol: Statewide"
192,0c0,"WSPSTW2","D","State Patrol Statewide 2","Law Tac","State Patrol: Statewide"
193,0c1,"WSPSTW3","D","State Patrol Statewide 3","Law Tac","State Patrol: Statewide"
200,0c8,"DOTATG","D","Announcement","Public Works","Wisconsin Department of Transportation"
201,0c9,"DOTSTOC","D","Statewide Traffic Operations Center","Public Works","Wisconsin Department of Transportation"
210,0d2,"DOTRIMCSTW","D","Regional Incident Management Coordinators - Statewide","Public Works","Wisconsin Department of Transportation"
211,0d3,"DOTRIMCSW","D","Regional Incident Management Coordinators - Southwest","Public Works","Wisconsin Department of Transportation"
212,0d4,"DOTRIMCSE","D","Regional Incident Management Coordinators - Southeast","Public Works","Wisconsin Department of Transportation"
213,0d5,"DOTRIMCNE","D","Regional Incident Management Coordinators - Northeast","Public Works","Wisconsin Department of Transportation"
214,0d6,"DOTRIMCNC","D","Regional Incident Management Coordinators - North Central","Public Works","Wisconsin Department of Transportation"
215,0d7,"DOTRIMCNW","D","Regional Incident Management Coordinators - Northwest","Public Works","Wisconsin Department of Transportation"
220,0dc,"DOTFSTSTW","D","Freeway Service Team - Statewide","Public Works","Wisconsin Department of Transportation"
221,0dd,"DOTFSTSW","D","Freeway Service Team - Southwest","Public Works","Wisconsin Department of Transportation"
222,0de,"DOTFSTSE","D","Freeway Service Team - Southeast","Public Works","Wisconsin Department of Transportation"
223,0df,"DOTFSTNE","D","Freeway Service Team - Northeast","Public Works","Wisconsin Department of Transportation"
224,0e0,"DOTFSTNC","D","Freeway Service Team - North Central","Public Works","Wisconsin Department of Transportation"
225,0e1,"DOTFSTNW","D","Freeway Service Team - Northwest","Public Works","Wisconsin Department of Transportation"
500,1f4,"DNRLEATG","D","All Law Enforcement Announcement","Law Talk","Dept. of Natural Resources: Statewide Law Enforcement"
501,1f5,"DNRLAW","D","Department Common","Law Talk","Dept. of Natural Resources: Statewide Law Enforcement"
502,1f6,"DNRWARDEN","D","Credentialed Statewide","Law Talk","Dept. of Natural Resources: Statewide Law Enforcement"
571,23b,"GLIFWC","D","Great Lakes Indian Fish & Wildlife Commission/Wardens","Law Talk","Dept. of Natural Resources: Statewide Law Enforcement"
572,23c,"DNRLKMCH","D","Lake Michigan","Law Talk","Dept. of Natural Resources: Statewide Law Enforcement"
611,263,"DNRFRBRF","D","Forestry Black River Falls Dispatch Group","Fire-Talk","Dept. of Natural Resources: Forestry Fire Control"
612,264,"DNRFRSPN","D","Forestry Spooner Dispatch Group","Fire-Talk","Dept. of Natural Resources: Forestry Fire Control"
613,265,"DNRFRCOM","De","Forestry Comm","Multi-Talk","Dept. of Natural Resources: Statewide"
614,266,"DNRFRDGV","D","Forestry Dodgeville Dispatch Group","Fire-Talk","Dept. of Natural Resources: Forestry Fire Control"
615,267,"DNRFRPKF","D","Forestry Park Falls Dispatch Group","Fire-Talk","Dept. of Natural Resources: Forestry Fire Control"
616,268,"DNRFRPST","D","Forestry Peshtigo Dispatch Group","Fire-Talk","Dept. of Natural Resources: Forestry Fire Control"
617,269,"DNRFRWIR","D","Forestry Wisconsin Rapids Dispatch Group","Fire-Talk","Dept. of Natural Resources: Forestry Fire Control"
618,26a,"DNRFRWOD","D","Forestry Woodruff Dispatch Group","Fire-Talk","Dept. of Natural Resources: Forestry Fire Control"
631,277,"DNRIC1","D","Incident Command 1","Multi-Talk","Dept. of Natural Resources: Statewide"
632,278,"DNRIC2","D","Incident Command 2","Multi-Talk","Dept. of Natural Resources: Statewide"
633,279,"DNRIC3","D","Incident Command 3","Multi-Talk","Dept. of Natural Resources: Statewide"
634,27a,"DNRIC4","D","Incident Command 4","Multi-Talk","Dept. of Natural Resources: Statewide"
641,281,"DNRAERO","D","Aeronautics","Multi-Talk","Dept. of Natural Resources: Statewide"
1006,3ee,"K25SEC","D","CCI Security","Corrections","Dept. of Corrections - Columbia Correctional Institution"
1007,3ef,"K25MNT","D","CCI Maintenance","Corrections","Dept. of Corrections - Columbia Correctional Institution"
1008,3f0,"K25PTR","D","CCI Perimeter ","Corrections","Dept. of Corrections - Columbia Correctional Institution"
1011,3f3,"K25MNT1","D","CCI MNT1","Corrections","Dept. of Corrections - Columbia Correctional Institution"
1012,3f4,"K25EMR","D","CCI Emergency","Corrections","Dept. of Corrections - Columbia Correctional Institution"
1014,3f6,"K25ADM","D","CCI Admin","Corrections","Dept. of Corrections - Columbia Correctional Institution"
1015,3f7,"K25SPT","D","CCI SPT","Corrections","Dept. of Corrections - Columbia Correctional Institution"
1016,3f8,"K25RSH1","D","CCI RSH1","Corrections","Dept. of Corrections - Columbia Correctional Institution"
1017,3f9,"K25H01","D","CCI Housing 1","Corrections","Dept. of Corrections - Columbia Correctional Institution"
1019,3fb,"K25RSH2","D","CCI RSH2","Corrections","Dept. of Corrections - Columbia Correctional Institution"
1020,3fc,"K25H04","D","CCI Housing 4","Corrections","Dept. of Corrections - Columbia Correctional Institution"
1022,3fe,"K25H67","D","CCI Housing 6-7","Corrections","Dept. of Corrections - Columbia Correctional Institution"
1024,400,"K25H08","D","CCI Housing 8","Corrections","Dept. of Corrections - Columbia Correctional Institution"
1025,401,"K25RO","D","CCI RO","Corrections","Dept. of Corrections - Columbia Correctional Institution"
1026,402,"K25MNT2","D","CCI MNT2","Corrections","Dept. of Corrections - Columbia Correctional Institution"
1034,40a,"K25ATG","D","CCI ATG","Corrections","Dept. of Corrections - Columbia Correctional Institution"
1099,44b,"K25TRAN","D","Columbia Correctional Transports","Corrections","Dept. of Corrections - Statewide"
1100,44c,"K25TRVL","D","Columbia DOC Travel","Corrections","Dept. of Corrections - Statewide"
1106,452,"K40SEC","D","Security","Corrections","Dept. of Corrections - Chippewa Valley Correctional Treatment Fa"
1206,4b6,"K28SEC","D","Dodge CI Security","Corrections","Dept. of Corrections - Waupun Facilities"
1207,4b7,"K28MNT","D","Dodge CI Maintenance","Corrections","Dept. of Corrections - Waupun Facilities"
1208,4b8,"K28PTR","D","Dodge CI Perimeter","Corrections","Dept. of Corrections - Waupun Facilities"
1211,4bb,"K28MT1","D","Dodge CI MT1","Corrections","Dept. of Corrections - Waupun Facilities"
1213,4bd,"Dodge 1-17","D","Dodge CI Units 1-17","Corrections","Dept. of Corrections - Waupun Facilities"
1214,4be,"Dodge 18","D","Dodge CI Unit 18","Corrections","Dept. of Corrections - Waupun Facilities"
1215,4bf,"Dodge 19/20","D","Dodge CI Units 19/20","Corrections","Dept. of Corrections - Waupun Facilities"
1216,4c0,"Dodge 21/22","D","Dodge CI Units 21/22","Corrections","Dept. of Corrections - Waupun Facilities"
1217,4c1,"Dodge 23/24","D","Dodge CI Units 23/24","Corrections","Dept. of Corrections - Waupun Facilities"
1218,4c2,"Dodge 25","D","Dodge CI Unit 25","Corrections","Dept. of Corrections - Waupun Facilities"
1219,4c3,"Dodge 30/33","D","Dodge CI Units 30/33","Corrections","Dept. of Corrections - Waupun Facilities"
1221,4c5,"K28EMR","D","Dodge CI Emergency","Corrections","Dept. of Corrections - Waupun Facilities"
1223,4c7,"K28ATG","D","Dodge CI ATG","Corrections","Dept. of Corrections - Waupun Facilities"
1224,4c8,"K28FS","D","Dodge CI Food Service","Corrections","Dept. of Corrections - Waupun Facilities"
1299,513,"K28TRAN","D","Dodge Correctional Transports","Corrections","Dept. of Corrections - Statewide"
1301,515,"K24SEC FLCI SEC","D","K24SEC FLCI Security","Corrections","Dept. of Corrections - Fox Lake Correctional Institution"
1303,517,"K24MNT","D","K24MNT FLCI Maintenance","Corrections","Dept. of Corrections - Fox Lake Correctional Institution"
1304,518,"K24ATG","D","K24ATG FLCI Announcement","Corrections","Dept. of Corrections - Fox Lake Correctional Institution"
1307,51b,"K24FS","D","K24FS FLCI Food Service","Corrections","Dept. of Corrections - Fox Lake Correctional Institution"
1308,51c,"K24VOC","D","K24VOC FLCI","Corrections","Dept. of Corrections - Fox Lake Correctional Institution"
1399,577,"K24TRAN","D","Fox Lake Correctional Transports","Corrections","Dept. of Corrections - Statewide"
1400,578,"K24TRVL","D","FLCI Travel","Corrections","Dept. of Corrections - Fox Lake Correctional Institution"
1401,579,"K22SEC","D","Security","Corrections","Dept. of Corrections - Green Bay Correctional Institution "
1403,57b,"K22MNT","D","Maintenance","Corrections","Dept. of Corrections - Green Bay Correctional Institution "
1404,57c,"K22ATG","D","Announcement","Corrections","Dept. of Corrections - Green Bay Correctional Institution "
1406,57e,"K22RSH","D","K22RSH","Corrections","Dept. of Corrections - Green Bay Correctional Institution "
1407,57f,"K22IND","D","K22IND","Corrections","Dept. of Corrections - Green Bay Correctional Institution "
1408,580,"K22HSU","D","K22HSU","Corrections","Dept. of Corrections - Green Bay Correctional Institution "
1409,581,"K22SCH","D","K22SCH","Corrections","Dept. of Corrections - Green Bay Correctional Institution "
1410,582,"K22NCH","D","K22NCH","Corrections","Dept. of Corrections - Green Bay Correctional Institution "
1411,583,"K22TC","D","K22TC","Corrections","Dept. of Corrections - Green Bay Correctional Institution "
1412,584,"K22DMA","D","K22DMA","Corrections","Dept. of Corrections - Green Bay Correctional Institution "
1416,588,"K22MT1","D","K22MT1","Corrections","Dept. of Corrections - Green Bay Correctional Institution "
1419,58b,"K22MS","D","K22MS","Corrections","Dept. of Corrections - Green Bay Correctional Institution "
1420,58c,"K22FS","D","Food Service","Corrections","Dept. of Corrections - Green Bay Correctional Institution "
1421,58d,"K2SPT","D","K22SPT","Corrections","Dept. of Corrections - Green Bay Correctional Institution "
1499,5db,"K22TRAN","D","Green Bay Correctional Transports","Corrections","Dept. of Corrections - Statewide"
1505,5e1,"K33EMR","D","JCI Emergency","Corrections","Dept. of Corrections - Jackson Correctional Institution"
1506,5e2,"K33SEC","D","JCI Security","Corrections","Dept. of Corrections - Jackson Correctional Institution"
1507,5e3,"K33MNT","D","JCI Maintenance","Corrections","Dept. of Corrections - Jackson Correctional Institution"
1510,5e6,"JCI 10","D","JCI Ops 10","Corrections","Dept. of Corrections - Jackson Correctional Institution"
1511,5e7,"JCI 11","D","JCI Ops 11","Corrections","Dept. of Corrections - Jackson Correctional Institution"
1512,5e8,"JCI 12","D","JCI Ops 12","Corrections","Dept. of Corrections - Jackson Correctional Institution"
1513,5e9,"JCI 13","D","JCI Ops 13","Corrections","Dept. of Corrections - Jackson Correctional Institution"
1515,5eb,"JCI 15","D","JCI Ops 15","Corrections","Dept. of Corrections - Jackson Correctional Institution"
1599,63f,"K33TRAN","D","JCI Transport","Corrections","Dept. of Corrections - Jackson Correctional Institution"
1601,641,"KMCI 1","D","KMCI Ops 1","Corrections","Dept. of Corrections - Kettle Moraine Correctional Institution"
1605,645,"KMCI 5","D","KMCI Ops 5","Corrections","Dept. of Corrections - Kettle Moraine Correctional Institution"
1606,646,"KMCI SEC","D","KMCI Security","Corrections","Dept. of Corrections - Kettle Moraine Correctional Institution"
1607,647,"KMCI Maint","D","KMCI Maintenance","Corrections","Dept. of Corrections - Kettle Moraine Correctional Institution"
1608,648,"KMCI 8","D","KMCI Ops 8","Corrections","Dept. of Corrections - Kettle Moraine Correctional Institution"
1610,64a,"KMCI 10","D","KMCI Ops 10","Corrections","Dept. of Corrections - Kettle Moraine Correctional Institution"
1611,64b,"KMCI 11","D","KMCI Ops 11","Corrections","Dept. of Corrections - Kettle Moraine Correctional Institution"
1612,64c,"KMCI 12","D","KMCI Ops 12","Corrections","Dept. of Corrections - Kettle Moraine Correctional Institution"
1613,64d,"KMCI 13","D","KMCI Ops 13","Corrections","Dept. of Corrections - Kettle Moraine Correctional Institution"
1614,64e,"KMCI 14","D","KMCI Ops 14","Corrections","Dept. of Corrections - Kettle Moraine Correctional Institution"
1615,64f,"KMCI 15","D","KMCI Ops 15","Corrections","Dept. of Corrections - Kettle Moraine Correctional Institution"
1616,650,"KMCI 16","D","KMCI Ops 16","Corrections","Dept. of Corrections - Kettle Moraine Correctional Institution"
1617,651,"KMCI 17","D","KMCI Ops 17","Corrections","Dept. of Corrections - Kettle Moraine Correctional Institution"
1618,652,"KMCI 18","D","KMCI Ops 18","Corrections","Dept. of Corrections - Kettle Moraine Correctional Institution"
1700,6a4,"K26TRVL","D","Kettle Moraine Correctional Travel","Corrections","Dept. of Corrections - Statewide"
1706,6aa,"K51SEC","D","K51SEC Security","Corrections","Dept. of Corrections - Milwaukee Secure Detention Facility"
1707,6ab,"K51MNT","D","K51MNT Maintenance","Corrections","Dept. of Corrections - Milwaukee Secure Detention Facility"
1711,6af,"K51EMR","D","K51EMR Emergency","Corrections","Dept. of Corrections - Milwaukee Secure Detention Facility"
1712,6b0,"K51SG","D","K51SG","Corrections","Dept. of Corrections - Milwaukee Secure Detention Facility"
1713,6b1,"K51HSU","D","K51HSU","Corrections","Dept. of Corrections - Milwaukee Secure Detention Facility"
1716,6b4,"K51FL3","D","K51FL3","Corrections","Dept. of Corrections - Milwaukee Secure Detention Facility"
1717,6b5,"K51FL4_5","D","K51FL4_5","Corrections","Dept. of Corrections - Milwaukee Secure Detention Facility"
1718,6b6,"K51FL6","D","K51FL6","Corrections","Dept. of Corrections - Milwaukee Secure Detention Facility"
1719,6b7,"K51FL7","D","K51FL7","Corrections","Dept. of Corrections - Milwaukee Secure Detention Facility"
1721,6b9,"K51FL9","D","K51FL9","Corrections","Dept. of Corrections - Milwaukee Secure Detention Facility"
1722,6ba,"K51INT","D","K51INT","Corrections","Dept. of Corrections - Milwaukee Secure Detention Facility"
1725,6bd,"K51ATG","D","K51ATG Announcement","Corrections","Dept. of Corrections - Milwaukee Secure Detention Facility"
1800,708,"K51TRVL","D","Milwaukee Secure Detention Facility Travel","Corrections","Dept. of Corrections - Statewide"
1805,70d,"K37EMR","D","Emergency","Corrections","Dept. of Corrections - New Lisbon Correctional Institution"
1806,70e,"K37SEC","D","Security","Corrections","Dept. of Corrections - New Lisbon Correctional Institution"
1807,70f,"K37MNT","D","Maintenance","Corrections","Dept. of Corrections - New Lisbon Correctional Institution"
1808,710,"K37PTR","D","Perimeter","Corrections","Dept. of Corrections - New Lisbon Correctional Institution"
1810,712,"K37RHU","D","RHU","Corrections","Dept. of Corrections - New Lisbon Correctional Institution"
1811,713,"K37HUA","D","Housing Unit A","Corrections","Dept. of Corrections - New Lisbon Correctional Institution"
1812,714,"K37HUB","D","Housing Unit B","Corrections","Dept. of Corrections - New Lisbon Correctional Institution"
1813,715,"K37HUC","D","Housing Unit C","Corrections","Dept. of Corrections - New Lisbon Correctional Institution"
1814,716,"K37HUD","D","Housing Unit D","Corrections","Dept. of Corrections - New Lisbon Correctional Institution"
1815,717,"K36 15","D","Operations 15","Corrections","Dept. of Corrections - New Lisbon Correctional Institution"
1816,718,"K37ATG","D","Announcement","Corrections","Dept. of Corrections - New Lisbon Correctional Institution"
1820,71c,"K37FS","D","Food Service","Corrections","Dept. of Corrections - New Lisbon Correctional Institution"
1906,772,"OCISEC","D","OCI Security","Corrections","Dept. of Corrections - Oakhill Correctional Institution"
1907,773,"OCI7","D","OCI Ops 7","Corrections","Dept. of Corrections - Oakhill Correctional Institution"
1910,776,"OCI10","D","OCI Ops 10","Corrections","Dept. of Corrections - Oakhill Correctional Institution"
1912,778,"OCI12","D","OCI Ops 12","Corrections","Dept. of Corrections - Oakhill Correctional Institution"
1915,77b,"OCI15","D","OCI Ops 15","Corrections","Dept. of Corrections - Oakhill Correctional Institution"
1916,77c,"OCI16","D","OCI Ops 16","Corrections","Dept. of Corrections - Oakhill Correctional Institution"
1998,7ce,"K56ESCRT","D","DOC University Hospital Secure Unit","Corrections","Dept. of Corrections - Statewide"
2001,7d1,"OSCI1","D","OSCI1","Corrections","Dept. of Corrections - Oshkosh Correctional Institution"
2003,7d3,"OSCI3","D","OSCI3","Corrections","Dept. of Corrections - Oshkosh Correctional Institution"
2012,7dc,"OSCI12","D","OSCI12","Corrections","Dept. of Corrections - Oshkosh Correctional Institution"
2099,833,"K27TRAN","D","Oshkosh Correctional Transport","Corrections","Dept. of Corrections - Statewide"
2106,83a,"PDC 6","D","PDC 6","Corrections","Dept. of Corrections - Prairie du Chien Correctional Institution"
2107,83b,"PDC 7","D","PDC 7","Corrections","Dept. of Corrections - Prairie du Chien Correctional Institution"
2111,83f,"PDC 11","D","PDC 11","Corrections","Dept. of Corrections - Prairie du Chien Correctional Institution"
2117,845,"PDC 17","D","PDC 17","Corrections","Dept. of Corrections - Prairie du Chien Correctional Institution"
2205,89d,"K29EMR","D","RCI Emergency","Corrections","Dept. of Corrections - Racine Correctional Institution"
2206,89e,"K29SEC","D","RCI Security","Corrections","Dept. of Corrections - Racine Correctional Institution"
2207,89f,"K29MNT","D","RCI Maintenance","Corrections","Dept. of Corrections - Racine Correctional Institution"
2210,8a2,"K29HSG","D","RCI Housing","Corrections","Dept. of Corrections - Racine Correctional Institution"
2212,8a4,"K29MT1","D","RCI MT1","Corrections","Dept. of Corrections - Racine Correctional Institution"
2213,8a5,"K29WKE","D","RCI WKE","Corrections","Dept. of Corrections - Racine Correctional Institution"
2214,8a6,"K29WKW","D","RCI WKW","Corrections","Dept. of Corrections - Racine Correctional Institution"
2215,8a7,"K29ATG","D","RCI Announcement","Corrections","Dept. of Corrections - Racine Correctional Institution"
2218,8aa,"K30STF","D","Sturtevant Transitional","Corrections","Dept. of Corrections - Racine Correctional Institution"
2299,8fb,"K29TRAN","D","RCI Transportation","Corrections","Dept. of Corrections - Racine Correctional Institution"
2306,902,"K36SEC","D","RGCI Security","Corrections","Dept. of Corrections - Redgranite Correctional Institution"
2307,903,"K36MNT","D","RGCI Maintenance","Corrections","Dept. of Corrections - Redgranite Correctional Institution"
2308,904,"K36PTR","D","RGCI Perimeter","Corrections","Dept. of Corrections - Redgranite Correctional Institution"
2311,907,"K36HUE","D","RGCI Housing Unit E","Corrections","Dept. of Corrections - Redgranite Correctional Institution"
2314,90a,"K36HUH","D","RGCI Housing Unit H","Corrections","Dept. of Corrections - Redgranite Correctional Institution"
2315,90b,"K36ATG","D","RGCI Announcement","Corrections","Dept. of Corrections - Redgranite Correctional Institution"
2406,966,"RYOC SEC","D","RYOC Security","Corrections","Dept. of Corrections - Racine Youthful Offenders Facility"
2407,967,"RYOC MAINT","D","RYOC Maintenance","Corrections","Dept. of Corrections - Racine Youthful Offenders Facility"
2408,968,"RYOC PERIM","D","RYOC Perimeter","Corrections","Dept. of Corrections - Racine Youthful Offenders Facility"
2413,96d,"RYOC 13","D","RYOC OPS 13","Corrections","Dept. of Corrections - Racine Youthful Offenders Facility"
2416,970,"RYOC 16","D","RYOC OPS 16","Corrections","Dept. of Corrections - Racine Youthful Offenders Facility"
2417,971,"RYOC 17","D","RYOC OPS 17","Corrections","Dept. of Corrections - Racine Youthful Offenders Facility"
2418,972,"RYOC 18","D","RYOC OPS 18","Corrections","Dept. of Corrections - Racine Youthful Offenders Facility"
2506,9ca,"K42SEC","D","SCI Security","Corrections","Dept. of Corrections - Stanley Correctional Institution"
2507,9cb,"K42MNT","D","SCI Maintenance","Corrections","Dept. of Corrections - Stanley Correctional Institution"
2508,9cc,"K42PTR","D","SCI Perimeter","Corrections","Dept. of Corrections - Stanley Correctional Institution"
2511,9cf,"K42MT1","D","SCI Maintenance 1","Corrections","Dept. of Corrections - Stanley Correctional Institution"
2512,9d0,"K42ATG","D","SCI All Call","Corrections","Dept. of Corrections - Stanley Correctional Institution"
2513,9d1,"K42H01","D","SCI Housing 1","Corrections","Dept. of Corrections - Stanley Correctional Institution"
2518,9d6,"K42RSH","D","SCI RSH","Corrections","Dept. of Corrections - Stanley Correctional Institution"
2599,a27,"K42TRAN","D","Stanley Correctional Transports","Corrections","Dept. of Corrections - Statewide"
2606,a2e,"K23SEC","D","TCI Security","Corrections","Dept. of Corrections - Taycheedah Correctional Institution"
2607,a2f,"K23MNT","D","TCI Maintenance","Corrections","Dept. of Corrections - Taycheedah Correctional Institution"
2608,a30,"K23PTR","D","TCI Perimeter","Corrections","Dept. of Corrections - Taycheedah Correctional Institution"
2609,a31,"K23PSPV","D","TCI Supervisor","Corrections","Dept. of Corrections - Taycheedah Correctional Institution"
2610,a32,"K23HSU","D","TCI HSU","Corrections","Dept. of Corrections - Taycheedah Correctional Institution"
2611,a33,"K23ATG","D","TCI All Call","Corrections","Dept. of Corrections - Taycheedah Correctional Institution"
2612,a34,"K23SPT","D","TCI Gatehouse","Corrections","Dept. of Corrections - Taycheedah Correctional Institution"
2613,a35,"K23ADA","D","TCI Addams Hall","Corrections","Dept. of Corrections - Taycheedah Correctional Institution"
2614,a36,"K23HAR","D","TCI Harris Hall","Corrections","Dept. of Corrections - Taycheedah Correctional Institution"
2615,a37,"K23DRM","D","TCI Dorm","Corrections","Dept. of Corrections - Taycheedah Correctional Institution"
2616,a38,"K23MC","D","TCI McCauley Unit","Corrections","Dept. of Corrections - Taycheedah Correctional Institution"
2617,a39,"K23RHU","D","TCI Restrictive Housing Unit","Corrections","Dept. of Corrections - Taycheedah Correctional Institution"
2618,a3a,"K23MSM","D","TCI Monarch Special Management Unit","Corrections","Dept. of Corrections - Taycheedah Correctional Institution"
2619,a3b,"K23AB","D","TCI Abrahamson Unit","Corrections","Dept. of Corrections - Taycheedah Correctional Institution"
2706,a92,"K21SEC","D","Waupun CI Security","Corrections","Dept. of Corrections - Waupun Facilities"
2707,a93,"K21MNT","D","Waupun CI Maintenance","Corrections","Dept. of Corrections - Waupun Facilities"
